Depth,Corrected porosity,Magnetic Number,TOC,Quartz,Calcite,Dolomite,Illite,Smectite,Kaolinite,Chlorite,Pyrite,Orthoclase Feldspar,Oglioclase Feldspar,Mixed Clays,Albite,Anhydrite,Siderite,Apatite,Aragonite
6657.7,3.38,8,6.76,31.1,0,0,26.2,0,0,0,0.3,0,0,26.5,10,0,5.4,0.6,0
6660,3.01,4.5,5.86,32.6,0,0,23.7,0,0,0,1,0,2,28.6,5.2,0,6.9,0,0
6662,3.58,6.5,5.49,30.8,0.2,11.5,30.7,0,0,0.1,0.2,0,0.4,12.1,5.6,0,5.8,2.6,0
6665.6,3.99,5.5,6.81,46.3,0,0,26.4,0,0,0,0.3,0,0.9,10.8,4.9,0,7.8,2,0.6
6667.6,5.43,6.5,3.67,37.8,0,8,20.5,0,0,0,0,0,3.5,21.1,1.3,0,7.8,0,0
6669.1,4.38,7,3.9,24.5,0,13.2,24.3,0,0,0,0,0,2.1,22.2,6.9,0,6.8,0,0
6669.7,2.05,6.5,6.77,20.1,0,0,32.9,0,0,0,4.6,0,2,27.5,7.8,0,5.1,0,0
6671.7,4.82,6.5,5.83,40.4,0,0,29.8,0,0,0,0.9,0,1.8,15.9,5.3,0,5.7,0,0.1
6673.8,4.13,6.5,6.69,42.1,0,0,31,0,0,1,1.9,1.3,0.5,9.6,5.4,0,6.3,0,0.8
6675.6,4.51,6.5,5.86,32.1,0,0,31.1,0,0,0,0.9,0,0,23.9,6.2,0,5.1,0,0.6
6678.7,3.96,5.5,7.48,29.7,0,0,35.9,0,0,0,2.9,0,0.9,23.3,2.9,0,4.5,0,0
6680,3.42,5,7.21,26.7,0,0,28,0,0,2.6,1.3,0,0,25.8,8.4,0,6,1.1,0.3
6682,3.77,6,5.71,37.9,0,0,26.4,0,0,0,3.3,0,0.8,22.5,3.8,0,5.3,0,0.1
6684,4.48,5,4.72,34.8,0,0,30.5,0,0,0,5.1,0,2,18.9,2.6,0,4.5,1.6,0
6686,4.81,5,3.72,37.8,0,0,35.5,0,0,0,1,0.3,0.7,19.3,1.6,0,3.8,0,0
6688,3.26,7,5.01,42.3,3.7,2.8,31.2,0,0,0,0.2,0,0.6,3.5,6.3,0,6.7,2.6,0
6690,3.41,8,4.18,36.3,0,0,26.6,0,0,0.2,0.7,0,0.7,25.3,4.7,0,5.1,0,0.5
6691.9,4.85,7,4.98,43.2,0,1.3,20.7,0,0,0,2.7,0,1.1,19,5.2,0,6.2,0.7,0
6693.9,3.92,6,5.1,28.4,0,0,35.3,0,0,0,3.7,0.8,1.8,21.7,4.5,0,3.7,0,0
6696,3.59,5,5.79,28.1,0,1.5,33.6,0,0,0.9,2.8,0,0,13.9,7,0,5.9,5.9,0.4
6700,1.41,5,0.72,5.2,75.7,0,0,0,0,2.7,3.8,0,0,3.4,2.8,0.4,5.9,0,0
6702.1,3.57,9,6.31,23.1,0,0,30,0,0,0,5,0,1,24.3,8.6,0,4.1,3.9,0
6704.2,3.32,5.3,3.55,16.8,0,2.4,38.4,3.9,0,0.5,3.7,0,0,7.7,11.4,0,4.3,10.8,0
6706,3.45,5,6.94,29.6,0,0,31.1,2.9,0,0,0,0,0,9.6,12.4,0,0,14.4,0
6708,5.23,9,3.8,20.8,0,0,42.9,0,0,1,4.2,5.2,0.9,18.4,4.2,0,1.7,0.6,0
6709.9,4.61,7,5.11,17.7,4.7,3.4,32.2,0,0,2.7,5.6,5.7,1.5,12.6,6.3,0.2,4.6,2.4,0.3
6712.1,4.61,11,5.07,19.1,0,0,36.4,0,0,1.5,4.5,2,0.7,23.7,8.9,0,2.9,0.3,0
6714,3.74,5,6.73,17.3,0,0,35.3,0,0,1.2,6.3,2.9,1.6,15.8,10.6,0,5.1,3.7,0
6716.3,3.75,10,5.39,32.6,0,7.5,26.8,0,0,0,0,0.6,3.3,12.1,5.3,0,8,3.9,0
6719,4.75,7,3.59,15.2,0,1.5,48.6,0,0,0,4.5,0,0,18.9,9.7,0,0.6,1.1,0
6720.5,5.54,0,0,6.3,0.7,0,40.6,0,0,0.8,3.9,0,0,32.4,8.2,0,6.9,0.2,0
6722.6,3.54,10,2.73,10.9,5.2,45,18.1,0,0,0,0,0,2.1,9.1,4.2,0,4.9,0.5,0
6724.4,3.9,10,4.88,31.7,0,0.3,30.8,0,0,0,1.5,0,3,20.7,5.9,0,5.7,0.4,0
