Well ori,Well,DEPTH,PEF,RHOB,NPHI,GR,AT90
4.21E+11,1,7760.5,3.4522,2.5636,0.1471,121.2219,24.88
4.21E+11,1,7761,3.307,2.5306,0.162,131.53,23.7486
4.21E+11,1,7761.5,3.2301,2.5121,0.1761,134.9588,21.7499
4.21E+11,1,7762,3.2124,2.498,0.1798,135.8257,21.0409
4.21E+11,1,7762.5,3.2076,2.4897,0.1855,136.564,21.2769
4.21E+11,1,7763,3.1962,2.4899,0.1821,139.8875,22.4974
4.21E+11,1,7763.5,3.1853,2.4923,0.1803,138.9104,23.1561
4.21E+11,1,7764,3.1825,2.4922,0.182,134.3578,23.9087
4.21E+11,1,7764.5,3.1966,2.4844,0.178,129.5313,25.2076
4.21E+11,1,7765,3.217,2.469,0.1793,130.1622,26.6817
4.21E+11,1,7765.5,3.2619,2.46,0.1726,140.3847,27.9759
4.21E+11,1,7766,3.3405,2.4605,0.1759,167.245,28.4111
4.21E+11,1,7769,3.2469,2.4743,0.2223,181.8763,15.57
4.21E+11,1,7769.5,3.2108,2.468,0.2171,162.482,15.4102
4.21E+11,1,7770,3.2205,2.475,0.2064,146.9267,15.4746
4.21E+11,1,7770.5,3.3163,2.491,0.195,132.1538,16.0228
4.21E+11,1,7771,3.4585,2.521,0.1858,119.2151,16.1898
4.21E+11,1,7771.5,3.5664,2.5511,0.1719,115.4107,17.7708
4.21E+11,1,7772,3.5735,2.5579,0.1621,119.9559,18.1644
4.21E+11,1,7772.5,3.4416,2.5396,0.1743,129.3051,16.6672
4.21E+11,1,7773,3.3308,2.511,0.1874,132.448,15.6939
4.21E+11,1,7773.5,3.2945,2.5061,0.2006,130.2925,16.0373
4.21E+11,1,7774,3.356,2.5189,0.1863,124.0574,16.5231
4.21E+11,1,7774.5,3.4328,2.5338,0.1766,121.5842,16.9002
4.21E+11,1,7775,3.5357,2.5362,0.1693,119.4637,17.7393
4.21E+11,1,7775.5,3.6759,2.5387,0.1647,121.2732,21.0226
4.21E+11,1,7776,3.7476,2.5518,0.1494,122.3333,28.1443
4.21E+11,1,7778,3.3414,2.5343,0.1538,110.914,28.5111
4.21E+11,1,7778.5,3.348,2.5144,0.1601,113.7786,26.8748
4.21E+11,1,7779,3.3631,2.5013,0.1612,116.8478,25.659
4.21E+11,1,7779.5,3.3226,2.4929,0.1668,121.132,23.274
4.21E+11,1,7780,3.2241,2.4929,0.1773,126.5321,21.03
4.21E+11,1,7780.5,3.1877,2.4843,0.1885,135.1106,20.9331
4.21E+11,1,7781,3.2527,2.4875,0.192,140.9765,22.9108
4.21E+11,1,7781.5,3.3905,2.4918,0.1836,139.1747,25.8752
4.21E+11,1,7783,3.2695,2.4486,0.181,136.4477,29.3974
4.21E+11,1,7783.5,3.1753,2.4298,0.1994,140.8354,26.826
4.21E+11,1,7784,3.1352,2.4411,0.2075,136.7379,25.431
4.21E+11,1,7784.5,3.1398,2.4611,0.1978,132.1234,25.8377
4.21E+11,1,7785,3.1645,2.4816,0.1817,126.6867,26.3498
4.21E+11,1,7785.5,3.2304,2.4768,0.1742,123.9283,26.7541
4.21E+11,1,7786,3.3064,2.4631,0.1786,127.186,24.6575
4.21E+11,1,7786.5,3.372,2.4492,0.1863,133.8539,22.7553
4.21E+11,1,7787,3.484,2.4782,0.1898,150.0061,21.3187
4.21E+11,1,7787.5,3.7315,2.5357,0.1777,164.1351,20.287
4.21E+11,1,7788,4.0325,2.6049,0.1517,160.146,23.4745
4.21E+11,1,7796,3.2587,2.5169,0.1645,123.022,26.5111
4.21E+11,1,7796.5,3.1615,2.4991,0.1679,130.0034,23.5591
