Depth,Corr_por,TOC,Quartz,Calcite,Dolomite,Illite,Smectite,Kaolinite,Chlorite,Mixed_Clays,Albite,Siderite,Apatite,Aragonite,Clays,Carbonate,GR,RHOB,RHOBE_Norm,TNPH
6686,4.81,3.72,37.8,0,0,35.5,0,0,0,19.3,1.6,3.8,0,0,54.8,3.8,168.65,2.51,2.5,17.9
6688,3.26,5.01,42.3,3.7,2.8,31.2,0,0,0,3.5,6.3,6.7,2.6,0,34.7,13.2,153.87,2.52,2.52,19.1
6690,3.41,4.18,36.3,0,0,26.6,0,0,0.2,25.3,4.7,5.1,0,0.5,52,5.6,150.37,2.52,2.51,17.8
6691.9,4.85,4.98,43.2,0,1.3,20.7,0,0,0,19,5.2,6.2,0.7,0,39.6,7.5,148.72,2.56,2.55,18.2
6693.9,3.92,5.1,28.4,0,0,35.3,0,0,0,21.7,4.5,3.7,0,0,57,3.7,146.18,2.53,2.52,18
6696,3.59,5.79,28.1,0,1.5,33.6,0,0,0.9,13.9,7,5.9,5.9,0.4,48.4,7.9,144.03,2.53,2.53,16
6700,1.41,0.72,5.2,75.7,0,0,0,0,2.7,3.4,2.8,5.9,0,0,6.1,81.6,179.2,2.53,2.52,21.3
6702.1,3.57,6.31,23.1,0,0,30,0,0,0,24.3,8.6,4.1,3.9,0,54.3,4.1,175.82,2.48,2.48,19.4
6704.2,3.32,3.55,16.8,0,2.4,38.4,3.9,0,0.5,7.7,11.4,4.3,10.8,0,50.5,6.8,140.9,2.61,2.6,17.3
6706,3.45,6.94,29.6,0,0,31.1,2.9,0,0,9.6,12.4,0,14.4,0,43.6,0,169.26,2.59,2.59,17.4
6708,5.23,3.8,20.8,0,0,42.9,0,0,1,18.4,4.2,1.7,0.6,0,62.3,1.7,187.28,2.53,2.53,22.6
6709.9,4.61,5.11,17.7,4.7,3.4,32.2,0,0,2.7,12.6,6.3,4.6,2.4,0.3,47.6,13,217.61,2.5,2.5,26.4
6712.1,4.61,5.07,19.1,0,0,36.4,0,0,1.5,23.7,8.9,2.9,0.3,0,61.6,2.9,202.11,2.54,2.53,22.5
6714,3.74,6.73,17.3,0,0,35.3,0,0,1.2,15.8,10.6,5.1,3.7,0,52.4,5.1,186.68,2.54,2.53,21.5
6716.3,3.75,5.39,32.6,0,7.5,26.8,0,0,0,12.1,5.3,8,3.9,0,38.9,15.5,167.29,2.58,2.57,19.7
6719,4.75,3.59,15.2,0,1.5,48.6,0,0,0,18.9,9.7,0.6,1.1,0,67.5,2.1,204.55,2.53,2.52,24.2
6722.6,3.54,2.73,10.9,5.2,45,18.1,0,0,0,9.1,4.2,4.9,0.5,0,27.3,55.1,210.02,2.57,2.57,24.1
6724.4,3.9,4.88,31.7,0,0.3,30.8,0,0,0,20.7,5.9,5.7,0.4,0,51.5,6.1,242.77,2.56,2.55,24.4
6727,4.2,5.49,12.8,2.7,0,33.2,3.6,0,4.8,0,10.1,2.8,28.4,0,41.5,5.5,184.91,2.59,2.58,19.4
6729,3.4,4.78,10.8,22.4,0,23.7,0,0,3.7,6.2,11.6,5,13.1,0,33.6,27.4,207.56,2.57,2.57,17
6731,3.66,2.67,10.8,5.5,29.7,23.2,0,0,0.1,13.1,9,6.9,1.2,0,36.4,42.1,193.08,2.67,2.66,13.4
6734,4.25,3.09,20,4.7,3.3,36.2,0.6,0.3,3.8,10.1,7.4,5.3,0.8,0.6,51,14,194.12,2.59,2.58,18.2
6736.1,3.51,4.38,18.2,7.2,0,34.4,0.4,0,3.3,6.5,10.7,5.2,6.1,0,44.5,12.3,188.05,2.58,2.57,15.5
6738.1,3.34,6.75,12.8,0,1.6,42.9,8.3,0,0.7,2.2,15.4,2.6,13.5,0,54.1,4.1,223.52,2.55,2.55,22.6
6742.1,4.08,3.94,19.5,0,0,43.7,0,0,0.2,17.7,8.4,4,1,0,61.5,4,198.38,2.54,2.53,21.2
6744.1,2.54,4.86,17.6,25.7,0,32.4,0,0,4.3,8.3,2.2,3.1,0.7,0,45,28.8,190.31,2.59,2.59,19.8
6745.9,1.35,1.7,6.4,67,0,4,0,0,7.6,0,3.1,5,0.9,0,11.5,72,213.74,2.55,2.55,20.4
6750.2,2.99,3.95,30,23.5,0,21.1,0,0,5.2,6.4,2,7,1.8,0,32.7,30.6,123.9,2.63,2.62,12
6752.6,2.81,1.75,8.7,8.1,41.4,13.1,0,0,0,5.6,5.4,3.5,2.1,0,18.7,53,195.86,2.59,2.58,16
6754.5,5.41,2.83,33.4,1.1,0,25.7,0,0,0,16.3,9.3,2.8,0.1,0,42,3.9,134.43,2.59,2.58,11.5
6756.4,6.37,4.99,43.4,1.8,0,26.4,0,0,1.8,7.3,8.3,4.8,1.2,0.1,35.6,6.7,146.35,2.68,2.67,11.6
